lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.55,0.46,True,True,False,0.46,-0.54,-0.54,8.1,8.7,0.599999999999998,0.299999999999999,gamble,win,8.7,8.7,205.157043222978,1,2.30109377292683,207.491233369627,211.476112476026,212.476498058066,NaN,NaN,NaN,NaN,NaN,15167,17968,22750,0,0,23971
NaN,NaN,True,False,False,0.46,-0.54,-1.08,-1.98,3.3,1.32,0.66,gamble,lose,1.32,10.02,214.493999000406,1,1.38406461651903,215.894492929336,219.896047736693,220.896486116224,NaN,NaN,NaN,NaN,NaN,26371,28052,32854,0,0,34075
NaN,NaN,True,False,True,0.46,-0.54,-1.62,-2.025,-1.5,-3.525,-2.5125,certain,certain,-2.5125,7.5075,222.913930101204,3,2.55117424915079,225.498202963965,229.499770890747,238.986843174731,230.483435653907,231.48384427483,0.48,7.50269555405248,234.484978621826,36475,39577,44378,46759,50361,55784
NaN,NaN,True,True,True,0.48,-0.52,-2.14,9.42,6.5,-2.92,1.79,gamble,win,6.5,14.0075,241.004236602108,1,1.30063011456514,242.338137162267,246.339643331885,247.323366972327,NaN,NaN,NaN,NaN,NaN,58184,59784,64586,0,0,65788
NaN,NaN,True,True,True,0.48,-0.52,-2.66,9.94,8.5,-1.44,-0.720000000000001,certain,certain,-0.720000000000001,13.2875,249.340869514621,3,1.43417459534248,250.808045768121,254.809594815772,264.296661339991,255.793279098056,256.79375107598,0.48,7.50282930786489,259.794906861964,68188,69948,74750,77131,80733,86156
NaN,NaN,True,False,False,0.48,-0.52,-3.18,-2.085,1.1,-0.985,0.0575000000000001,gamble,lose,-0.985,12.3025,266.314113324683,1,2.21779014484491,268.564985763922,272.549867750204,273.550256212067,NaN,NaN,NaN,NaN,NaN,88556,91257,96038,0,0,97260
NaN,NaN,True,True,False,0.48,-0.52,-3.7,10.98,12.9,1.92,0.96,gamble,win,12.9,25.2025,275.56769987708,1,1.01728367246687,276.618076083541,280.619676968723,281.603273895045,NaN,NaN,NaN,NaN,NaN,99660,100921,105722,0,0,106924
NaN,NaN,True,True,True,0.48,-0.52,-4.22,11.5,9.1,-2.4,-1.2,gamble,win,9.1,34.3025,283.620827634935,1,0.98380139679648,284.637888917874,288.639448524977,298.126465451554,289.623073930037,290.623549747805,0.48,7.50282226811396,293.624644736643,109324,110544,115346,117727,121329,126752
NaN,NaN,True,True,True,0.48,-0.52,-4.74,12.02,7.9,-4.12,1.89,certain,certain,1.89,36.1925,300.14386015886,3,1.98434569139499,302.161305743852,306.162827912718,307.146630269475,NaN,NaN,NaN,NaN,NaN,129152,131572,136374,0,0,137576
NaN,NaN,True,True,True,0.48,-0.52,-5.26,12.54,1.9,-10.64,-4.37,certain,certain,-4.37,31.8225,309.164078094298,3,2.73465463693719,311.931817265518,315.933361193398,325.420333962014,316.917033316218,317.917473295704,0.48,7.50267955480376,320.918623321922,139976,143297,148099,150480,154081,159504
NaN,NaN,True,True,True,0.48,-0.52,-5.78,13.06,-0.7,-13.76,-7.23,gamble,win,-0.7,31.1225,327.437826904759,1,2.23446904559387,329.705390084186,333.706867455156,334.690645493043,NaN,NaN,NaN,NaN,NaN,161904,164625,169428,0,0,170629
NaN,NaN,True,True,True,0.48,-0.52,-6.3,13.58,6.3,-7.28,-0.489999999999999,certain,certain,-0.489999999999999,30.6325,336.708051079884,3,2.50103675154969,339.242366596649,343.227257542545,352.730954009865,344.227650804154,345.228076704312,0.48,7.5027918695705,348.229194732034,173029,176070,180852,183253,186854,192277
NaN,NaN,True,True,False,0.48,-0.52,-6.82,14.1,12.3,-1.8,-0.899999999999999,gamble,win,12.3,42.9325,354.74834871717,1,1.43420467397664,356.21564528509,360.217120096204,361.200880534889,NaN,NaN,NaN,NaN,NaN,194677,196438,201240,0,0,202442
NaN,NaN,True,True,True,0.48,-0.52,-7.34,14.62,4.7,-9.92,-2.61,gamble,win,4.7,47.6325,363.218306920724,NaN,NaN,366.219527983689,370.221023593796,371.204738914617,NaN,NaN,NaN,NaN,NaN,204842,208443,213245,0,0,214446
NaN,NaN,True,True,False,0.48,-0.52,-7.86,15.14,6.1,-9.04,-1.47,gamble,win,6.1,53.7325,373.222254896304,1,1.20071702246787,374.456074372225,378.457606140641,387.944621467323,379.441321781487,380.441707363469,0.53,7.50282034825068,383.442861229531,216846,218327,223129,225509,229111,234534
NaN,NaN,True,False,True,0.53,-0.47,-8.33,-2.33916666666667,2.9,0.560833333333334,1.73041666666667,gamble,lose,0.560833333333334,54.2933333333333,389.962086571322,1,0.933920527284499,390.929095792701,394.930661479535,395.914377760317,NaN,NaN,NaN,NaN,NaN,236934,238094,242896,0,0,244098
